symbol,date,close,volume,quote_volume,open,high,low
BTCUSDT,2025-09-03,111705.71,11773.72084,1313762617.3436644,111240.01,112575.27,110528.71
BTCUSDT,2025-09-04,110730.87,12203.13536,1349031325.5320847,111705.72,112180.0,109329.12
ETHUSDT,2025-09-04,4297.55,471795.7096,2061920365.306792,4450.46,4482.05,4265.33
BTCUSDT,2025-09-05,110659.99,21587.40888,2413132200.623325,110730.87,113384.62,110206.96
ETHUSDT,2025-09-05,4307.45,624169.8754,2722930703.949958,4297.56,4490.0,4256.03
BTCUSDT,2025-09-06,110187.97,5000.29897,552785936.5434699,110660.0,111307.7,109977.0
ETHUSDT,2025-09-06,4273.14,191166.0686,819243725.2123,4307.46,4329.3,4236.0
ETHUSDT,2025-09-07,4306.19,169620.8372,729149678.760542,4273.15,4336.02,4270.81
BTCUSDT,2025-09-07,111137.34,5681.29944,630447950.1588689,110187.98,111600.0,110180.0
ETHUSDT,2025-09-08,4306.37,372882.4355,1611402674.924859,4306.19,4384.06,4279.0
BTCUSDT,2025-09-08,112065.23,11582.40211,1295903862.4649603,111137.35,112924.37,110621.78
BTCUSDT,2025-09-09,111546.39,15379.28248,1721465997.906366,112065.23,113293.29,110766.66
ETHUSDT,2025-09-09,4310.09,405485.7821,1751903233.455334,4306.36,4381.87,4276.76
ETHUSDT,2025-09-10,4349.32,506633.9098,2207912091.685508,4310.08,4453.57,4285.1
BTCUSDT,2025-09-10,113960.0,17517.41823,1978834750.2223115,111546.38,114313.13,110917.45
BTCUSDT,2025-09-11,115482.69,13676.73119,1562241144.956541,113960.0,115488.09,113430.0
ETHUSDT,2025-09-11,4458.82,441259.6649,1949893256.335128,4349.33,4481.09,4338.82
BTCUSDT,2025-09-12,116029.42,15324.10719,1772122269.5018635,115482.69,116665.63,114740.99
ETHUSDT,2025-09-12,4712.16,510777.5402,2337299050.098691,4458.83,4748.4,4450.71
ETHUSDT,2025-09-13,4666.53,394393.6869,1850836179.983483,4712.16,4769.36,4605.0
BTCUSDT,2025-09-13,115918.29,8269.40394,957724220.6497611,116029.41,116298.78,115127.27
ETHUSDT,2025-09-14,4604.49,278244.3205,1287527692.946413,4666.54,4692.36,4576.89
BTCUSDT,2025-09-14,115268.01,6707.60197,775762364.9685991,115918.29,116165.19,115135.0
ETHUSDT,2025-09-15,4523.74,412291.9687,1874781946.015099,4604.48,4670.28,4466.0
BTCUSDT,2025-09-15,115349.71,13212.51149,1522648235.2235153,115268.01,116757.99,114384.0
ETHUSDT,2025-09-16,4501.29,293307.1099,1315498731.650004,4523.74,4538.25,4424.0
BTCUSDT,2025-09-16,116788.96,10926.9094,1265779287.5169268,115349.71,116964.27,114737.11
ETHUSDT,2025-09-17,4590.53,476981.4561,2149457762.913816,4501.3,4616.77,4412.0
BTCUSDT,2025-09-17,116447.59,16754.2454,1946083704.6217456,116788.96,117286.73,114720.81
ETHUSDT,2025-09-18,4587.66,290660.377,1336761563.704996,4590.54,4644.47,4553.7
BTCUSDT,2025-09-18,117073.53,11657.23365,1367513347.4865093,116447.6,117900.0,116092.76
ETHUSDT,2025-09-19,4468.59,331611.1482,1495953132.099773,4587.66,4620.72,4435.7
BTCUSDT,2025-09-19,115632.38,8992.09065,1045792401.4532388,117073.53,117459.99,115100.0
BTCUSDT,2025-09-20,115685.63,4674.92752,541264273.2416894,115632.39,116121.81,115408.47
ETHUSDT,2025-09-20,4480.42,130781.913,585813348.774924,4468.59,4508.71,4454.45
